,"b""Date",Marketplace,MSKU,FNSKU,Asin,Product Name,Condition,Fulfilled By,Total Quantity (Sellable),Estimated Excess,Days Of Supply,Excess Threshold,Units Sold - Last 7 Days,Units Sold - Last 30 Days,Units Sold - Last 60 Days,Units Sold - Last 90 Days,Alert,Your Price,Lowest Price (Includes Shipping),Buybox Price,Recommended action,Healthy Inventory Level,Recommended sales price,Recommended sale duration (days),Estimated total storage cost,Recommended Removal Quantity,Estimated cost savings of removal
0,2020-08-20,amazon.co.uk,IMLPF00352BKS AMZ,B01DBWXQEA,B01DBWXQEA,"IZAS Men's Sutton Polar Fleece Jersey, Black, Small",New,Amazon,4,2,196,,0,0,0,0,Low Traffic,GBP 11.63,GBP 11.22,GBP 11.22,Improve recommendations,0,11.63,0,32.71763447253,0,65.78317132540977
1,2020-08-20,amazon.de,IMLPF00352BKS AMZ,B01DBWXQEA,B01DBWXQEA,IZAS Jacke Fleecejacke Sutton,New,Amazon,4,4,196,,0,0,0,0,Low Conversion,EUR 12.84,EUR 10.48,EUR 10.48,Improve recommendations,0,12.84,0,71.05231,0,72.61797514616701
2,2020-08-20,amazon.fr,IMLPF00352BKS AMZ,B01DBWXQEA,B01DBWXQEA,Veste Polaire Sutton,New,Amazon,4,4,196,,0,0,0,0,Low Traffic,EUR 12.84,EUR 10.84,EUR 10.84,Improve recommendations,0,12.84,0,71.05231,0,72.61797514616701
3,2020-08-20,amazon.es,IMLPF00352BKS AMZ,B01DBWXQEA,B01DBWXQEA,"Izas - Sutton - Black - S, para Hombre",New,Amazon,4,4,196,,0,0,0,0,Low Conversion,EUR 12.84,EUR 10.93,EUR 10.93,Create sale,0,9.77,63,71.05231,0,72.61797514616701
4,2020-08-20,amazon.it,IMLPF00352BKS AMZ,B01DBWXQEA,B01DBWXQEA,"IZAS Sutton, Giacca di Pile Uomo, Nero, S",New,Amazon,4,4,196,,0,0,0,0,Low Traffic,EUR 12.84,EUR 11.02,EUR 11.02,Improve recommendations,0,12.84,0,71.05231,0,72.61797514616701
5,2020-08-20,amazon.co.uk,IMLPF00348BK/RDL AMZ,B01FMQ1GSG,B01FMQ1GSG,Izas Standard Polar Lining Black / Red L,New,Amazon,4,4,366,,0,0,0,0,Low Traffic,GBP 15.39,GBP 14.94,GBP 14.94,Improve recommendations,0,15.39,0,7.96692031233,0,32.56176034433392
6,2020-08-20,amazon.de,IMLPF00348BK/RDL AMZ,B01FMQ1GSG,B01FMQ1GSG,IZAS Fleecejacke Padru,New,Amazon,4,4,366,,0,0,0,0,Low Traffic,EUR 16.99,EUR 16.62,EUR 16.62,Improve recommendations,0,16.99,0,8.804297,0,35.944893743469244
7,2020-08-20,amazon.fr,IMLPF00348BK/RDL AMZ,B01FMQ1GSG,B01FMQ1GSG,Veste Polaire Padru,New,Amazon,4,4,366,,0,0,0,2,Low Traffic,EUR 16.99,EUR 16.99,EUR 16.99,Improve recommendations,0,16.99,0,8.804297,0,35.944893743469244
8,2020-08-20,amazon.es,IMLPF00348BK/RDL AMZ,B01FMQ1GSG,B01FMQ1GSG,Izas Chaqueta de Forro Polar Padru,New,Amazon,4,4,366,,0,0,0,1,Low Conversion,EUR 16.99,EUR 12.95,EUR 12.95,Create sale,0,14.389681909839883,364,8.804297,0,35.944893743469244
